BRANCH	TIME	EVENT	BROKEN_ADJACENCIES
n13	1.1678710467372526	P	+55_15|+56_15,+56_15|+57_15,-65_11|+66_13
n13	1.2879742551112927	P	+71_14|+72_14,+74_14|+75_14,-53_22|-54_22
n13	1.3254065549217031	D	-53_24|-54_24
n13	1.431476479117034	P	+70_14|+71_14,-79_14|-106_8,+39_32|-51_34
n13	1.5037734080986145	L	+82_14|-83_16,-83_16|+84_18
n13	1.6086849464083162	P	+46_32|+40_28,+40_28|-52_28,+48_31|-47_31
n13	1.865096377635836	I	+46_31|+40_27,-44_21|+43_24
n13	1.876019985784948	D	+96_14|+97_14
n13	2.024469936746986	P	+62_14|+63_14,+66_16|-67_14,-25_19|-17_19
n13	2.232904944736568	O	+87_14|-88_14
n13	2.353165397973038	P	-21_16|+20_18,-18_18|+17_18,-59_26|+60_26
n13	2.545193704294772	I	-77_14|-79_14,+39_33|-51_35
n13	2.5743551652275887	I	-88_14|-89_28,+48_30|-47_30
n13	2.7193812844932195	AT	+2_14|+1_43
n13	2.7976674647472173	I	+46_30|+40_26,+46_31|+44_21
n13	2.823187681497233	L	+16_16|+15_16,+15_16|-14_16
n13	2.9906777043120223	I	+44_20|+45_20,+35_18|+34_18
n13	3.042702514374121	O	+21_16|-22_16
n13	3.072869065999697	L	-20_19|+53_27,+53_27|+52_27
n14	1.1482575065367862	I	+66_13|-67_11,+72_11|-73_11
n14	1.1768039178344147	P	-51_27|-50_27,-50_27|-49_27,+60_25|-61_25
n14	1.2491147724013392	AT	-88_15|-89_17
n14	1.3081201982954835	O	-59_25|+60_25
n11	1.2652984903289308	L	+46_24|+40_20,+40_20|-52_20
n11	1.3058238106562183	L	-101_14|-31_14,-31_14|+33_14
n11	1.4123749730897548	L	-27_14|+28_14,+28_14|+29_14
n11	1.4256869249087845	AT	-107_6|+86_17
n11	1.5125241886169714	L	+60_18|-61_18,-61_18|+42_22
n11	1.530849931751896	O	-8_12|-9_12
